Timestamp,Column,Mean (%),Std Dev (%),Min (%),25% (%),Median (%),75% (%),Max (%),AS Count
2023-01-01,ipv4_prefix_count,,,,,,,,0
2023-01-16,ipv4_prefix_count,0.08238119734914792,0.7878513410603456,-1.0,-0.1428571428571429,0.000286944045911,0.1333333333333333,31.0,3221
2023-02-01,ipv4_prefix_count,0.12920699897207577,0.8016250378366625,-1.0,-0.125,0.009090909090909,0.1666666666666667,26.0,3872
2023-02-15,ipv4_prefix_count,0.1275939771092756,0.9168297454364327,-1.0,-0.125,0.00854420072554105,0.1666666666666667,27.0,3760
2023-03-01,ipv4_prefix_count,0.2399170401545546,3.933349805282535,-1.0,-0.0909090909090909,0.0166666666666666,0.1999999999999999,232.0,3774
2023-03-17,ipv4_prefix_count,0.15910987097546475,0.8303355252556357,-1.0,-0.1176470588235294,0.0109890109890109,0.1999999999999999,18.5,4187
2023-04-01,ipv4_prefix_count,0.1389826916302483,1.0813446615862967,-1.0,-0.1428571428571429,0.0066225165562914,0.1666666666666667,40.92307692307692,3917
2023-04-16,ipv4_prefix_count,0.2850575536306044,2.113335358401616,-1.0,-0.0270270270270269,0.04,0.25,102.0,3297
2023-05-01,ipv4_prefix_count,0.06492565566605246,0.726681877209309,-1.0,-0.1666666666666666,-0.011111111111111,0.0909090909090908,16.0,3973
2023-05-16,ipv4_prefix_count,0.16523190204064606,2.2966071871466003,-1.0,-0.125,0.00721158013348355,0.1666666666666667,124.0,3748
2023-06-01,ipv4_prefix_count,0.19907651001528967,1.7150184058541975,-1.0,-0.125,0.0095866097635226,0.1666666666666667,68.0,4208
2023-06-15,ipv4_prefix_count,0.14712091492865959,0.845551871449719,-1.0,-0.1111111111111111,0.00898358236487725,0.1666666666666667,19.0,3638
2023-07-01,ipv4_prefix_count,0.14377549736979964,0.7715885465062118,-1.0,-0.1111111111111111,0.0117647058823529,0.1999999999999999,15.0,4070
2023-07-15,ipv4_prefix_count,0.12406343143194742,0.7234163762171959,-1.0,-0.1176470588235294,0.0088105726872247,0.1666666666666667,15.0,3458
2023-08-01,ipv4_prefix_count,0.24713244039119125,1.1634199475946996,-1.0,-0.0476190476190476,0.032258064516129,0.25,31.0,3615
2023-08-14,ipv4_prefix_count,0.0683687147086852,1.1776251519595742,-1.0,-0.1999999999999999,-0.0181818181818181,0.0833333333333332,47.0,4049
2023-09-01,ipv4_prefix_count,0.12492665857170518,0.8381155838428715,-1.0,-0.1428571428571429,0.0105263157894737,0.1999999999999999,28.0,4541
2023-09-13,ipv4_prefix_count,0.15216909001518342,0.796268214804313,-1.0,-0.1111111111111111,0.0076923076923076,0.1666666666666667,13.75,3217
2023-10-01,ipv4_prefix_count,0.12275514157743948,0.8734085267821117,-1.0,-0.1428571428571429,0.0058740317767005,0.1818181818181818,22.0,4484
2023-10-13,ipv4_prefix_count,0.2642130268371256,1.3336668648892847,-1.0,-0.0769230769230768,0.0214285714285713,0.25,41.66666666666666,3717
2023-11-01,ipv4_prefix_count,0.1990706642117571,1.4983350876546602,-1.0,-0.125,0.0119047619047618,0.1999999999999999,78.0,4377
2023-11-12,ipv4_prefix_count,0.138511048509291,0.7810515492239319,-1.0,-0.1111111111111111,0.008032258064516101,0.1935483870967742,14.0,3354
2023-12-01,ipv4_prefix_count,0.14969983684517912,1.1212091688076913,-1.0,-0.1428571428571429,0.009433962264151,0.1999999999999999,50.4,4441
2023-12-12,ipv4_prefix_count,0.17194477454469195,0.9760702520587731,-1.0,-0.125,0.0060913768366892,0.17499013028029994,21.0,3240
2023-01-01,ipv6_prefix_count,,,,,,,,0
2023-01-16,ipv6_prefix_count,0.12894551722468825,1.9865117673542896,-1.0,-0.5,-0.0271612507664009,0.25,50.0,1038
2023-02-01,ipv6_prefix_count,0.19972909581948833,3.336617294772999,-1.0,-0.5,-0.01276688216439395,0.3333333333333332,100.0,1194
2023-02-15,ipv6_prefix_count,0.15878310650810742,1.3306121610944535,-1.0,-0.5,-0.0030216802168021003,0.3333333333333332,19.0,1128
2023-03-01,ipv6_prefix_count,0.2588147018281856,3.946065898343708,-1.0,-0.5,-0.0025606187290969,0.3333333333333332,122.5,1148
2023-03-17,ipv6_prefix_count,0.24541958098340116,1.6752234530600787,-1.0,-0.5,0.0087719298245614,0.3636363636363635,25.0,1375
2023-04-01,ipv6_prefix_count,0.2092198182136418,1.9234341667449601,-1.0,-0.5,-0.0043103448275861,0.3333333333333332,43.0,1331
2023-04-16,ipv6_prefix_count,0.8048896922805131,4.103964815789399,-1.0,0.0106382978723404,0.1999999999999999,1.0,108.0,951
2023-05-01,ipv6_prefix_count,0.014536848712981573,1.476628628556741,-1.0,-0.5,-0.1111111111111111,0.13477088948787053,26.0,1352
2023-05-16,ipv6_prefix_count,0.5503507585820391,2.7649579501393453,-1.0,-0.031137992831541172,0.1105200945626477,0.5,51.0,878
2023-06-01,ipv6_prefix_count,0.046025555104720874,1.5884061417904933,-1.0,-0.5,-0.1025641025641025,0.1428571428571428,30.0,1443
2023-06-15,ipv6_prefix_count,0.24047103656321314,2.344145111333808,-1.0,-0.3961538461538462,0.01770050125313275,0.3333333333333332,55.0,1178
2023-07-01,ipv6_prefix_count,0.3128273566482379,3.703218615760718,-1.0,-0.5,-0.0049696640852365005,0.3333333333333332,100.28571428571428,1280
2023-07-15,ipv6_prefix_count,0.38433282450679923,4.307294442327158,-1.0,-0.3529411764705882,0.0103092783505154,0.3333333333333332,99.75,1109
