Timestamp,Column,Mean (%),Std Dev (%),Min (%),25% (%),Median (%),75% (%),Max (%),AS Count
2023-06-01,ipv4_prefix_count,,,,,,,,0
2023-06-02,ipv4_prefix_count,0.11255169544852849,0.7523343986667802,-1.0,-0.0754985754985754,0.0030075187969924,0.1,9.0,939
2023-06-03,ipv4_prefix_count,0.1472104200646039,0.9383619364613163,-1.0,-0.0909090909090909,0.00125177314958335,0.12316176470588235,13.0,882
2023-06-04,ipv4_prefix_count,0.09213833227347744,0.6037075975913007,-1.0,-0.12916666666666665,-0.0004063388866314,0.125,5.0,599
2023-06-05,ipv4_prefix_count,0.09105078082429767,1.0737442321634558,-1.0,-0.1634615384615384,-0.0018248722089943999,0.0714285714285714,17.88888888888889,510
2023-06-06,ipv4_prefix_count,0.08958547343846403,0.6318179650357025,-1.0,-0.0999999999999999,0.0003311258278144,0.1111111111111111,8.0,789
2023-06-07,ipv4_prefix_count,0.08147927105797359,0.5089921095782982,-1.0,-0.0666666666666666,0.0032154340836012,0.0833333333333332,6.0,841
2023-06-08,ipv4_prefix_count,0.14900220793120525,0.9077298609632173,-1.0,-0.0666666666666666,0.0040816326530612,0.12807377049180318,19.0,939
2023-06-09,ipv4_prefix_count,0.11350093022997877,0.8464801486859449,-1.0,-0.0769230769230768,0.0015492619704787,0.0792307692307692,14.0,830
2023-06-10,ipv4_prefix_count,0.10711944123214687,0.7110191961486056,-1.0,-0.087012987012987,0.004844915771197901,0.1428571428571428,11.0,868
2023-06-11,ipv4_prefix_count,0.10452128857989278,0.849996624996138,-1.0,-0.13678160919540228,-0.0022668227514042,0.12152777777777778,15.0,618
2023-06-12,ipv4_prefix_count,0.09915118659599319,0.7460338746712921,-1.0,-0.0909090909090909,0.0015187999058965999,0.125,12.0,522
2023-06-13,ipv4_prefix_count,0.17866269423736308,1.0966490543682261,-1.0,-0.09176672384219553,0.0018401620154907,0.11823529411764708,18.22222222222222,876
2023-06-14,ipv4_prefix_count,0.12428701657341895,0.8346285040907593,-1.0,-0.1059649122807017,0.0009074410163338,0.1111111111111111,10.0,927
2023-06-15,ipv4_prefix_count,0.15080953007865308,0.9452076752614451,-1.0,-0.0773480662983425,0.0033783783783782,0.1428571428571428,19.0,869
2023-06-16,ipv4_prefix_count,0.12129815550607895,0.6957849175507599,-1.0,-0.0666666666666666,0.0028612830336967997,0.1428571428571428,9.666666666666666,896
2023-06-17,ipv4_prefix_count,0.10247701282252535,0.8164587512257063,-1.0,-0.1101190476190476,0.0005360144874678,0.1,15.0,846
2023-06-18,ipv4_prefix_count,0.1409422392679426,0.7150477559873479,-1.0,-0.0909090909090909,0.0018248175182482,0.1666666666666667,7.0,587
2023-06-19,ipv4_prefix_count,0.09339620027557534,0.8499555416036799,-1.0,-0.1666666666666666,0.000330250990753,0.1153846153846154,14.0,485
2023-06-20,ipv4_prefix_count,0.0731683887067137,0.5118628740967299,-1.0,-0.0666666666666666,0.0028479987036136,0.1111111111111111,4.269042170644001,860
2023-06-21,ipv4_prefix_count,0.17662778907404092,1.0633846221177397,-1.0,-0.0769230769230768,0.0033333333333334,0.1538461538461537,16.5,933
2023-06-22,ipv4_prefix_count,0.1100308303636994,0.7944427851069159,-1.0,-0.0999999999999999,0.0007664893798143,0.0833333333333332,10.0,912
2023-06-23,ipv4_prefix_count,0.18456112477695616,0.6915788710387433,-1.0,-0.04,0.0148148148148148,0.25,5.0,821
2023-06-24,ipv4_prefix_count,0.03432967974950142,0.6021395304438129,-1.0,-0.15259197324414708,-0.00528826053701985,0.0588235294117647,8.0,880
2023-06-25,ipv4_prefix_count,0.09376270804088487,0.674366232110758,-1.0,-0.1111111111111111,-0.00044199067721775,0.0977272727272727,6.0,534
2023-06-26,ipv4_prefix_count,-0.026851962030734682,0.5272937751536647,-1.0,-0.1999999999999999,-0.0238095238095238,0.02020408163265305,6.0,727
2023-06-27,ipv4_prefix_count,0.24539339760798806,0.9844594235259737,-1.0,-0.04,0.012739370334307,0.18286646089336672,11.0,1066
2023-06-28,ipv4_prefix_count,0.11325741566689468,0.6499033701546433,-1.0,-0.08423913043478258,0.0018148820326677,0.1111111111111111,6.0,968
2023-06-29,ipv4_prefix_count,0.052263174070862804,0.5293584701913566,-1.0,-0.11941176470588234,0.0012872144976467,0.08982785602503915,4.0,874
2023-06-30,ipv4_prefix_count,0.20067685815585654,1.4512017702421574,-1.0,-0.057189542483660094,0.0028571428571428,0.1428571428571428,36.0,863
2023-06-01,ipv6_prefix_count,,,,,,,,0
2023-06-02,ipv6_prefix_count,0.1216991248976813,1.184875145059729,-1.0,-0.25,0.00284325889164585,0.1818181818181818,8.833333333333334,272
2023-06-03,ipv6_prefix_count,-0.026027033954632777,1.7954410248284516,-1.0,-0.5,-0.08012820512820505,0.0584033613445378,30.0,342
2023-06-04,ipv6_prefix_count,0.6410844689673587,2.968188091221936,-1.0,-0.25,0.0192307692307691,0.26,30.0,213
2023-06-05,ipv6_prefix_count,0.03734540417338104,0.7224113906707331,-1.0,-0.24519230769230768,-0.00143349753694575,0.1999999999999999,5.2,162
2023-06-06,ipv6_prefix_count,0.09546007756166086,1.0260706650019482,-1.0,-0.25,0.00125102286821515,0.09572733202870182,8.0,222
2023-06-07,ipv6_prefix_count,0.12976945351233593,2.2165861707764973,-1.0,-0.3333333333333333,-0.005578619615983301,0.15416666666666662,34.833333333333336,276
2023-06-08,ipv6_prefix_count,0.15176943784203065,1.0679192006554907,-1.0,-0.1999999999999999,0.0076016989611971,0.25,9.0,292
