timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,3553,670,6440,1926,0,61324,2565826
2023-07-02,3553,670,6437,2236,0,62008,2584802
2023-07-03,3539,670,6431,2231,0,61877,2578319
2023-07-04,3555,671,6437,1927,0,61384,2565811
2023-07-05,3555,671,6435,2233,0,62051,2589390
2023-07-06,3534,668,6432,2228,0,65105,2788181
2023-07-07,3555,674,6437,2236,0,65710,2785686
2023-07-08,3554,673,6427,2237,0,65691,2778777
2023-07-09,3550,673,6411,2231,0,65553,2770396
2023-07-10,3552,674,6423,2233,0,62162,2693720
2023-07-11,3550,673,6378,2216,0,62167,2666344
2023-07-12,3546,672,6397,2210,0,62098,2689123
2023-07-13,3538,675,6403,1909,0,61270,2670684
2023-07-14,3544,675,6421,2237,0,61976,2698314
2023-07-15,3541,675,6421,2235,0,65462,2779161
2023-07-16,3541,674,6420,1915,0,64693,2767946
2023-07-17,3541,675,6408,2233,0,65354,2686741
2023-07-18,3534,672,6420,2228,0,65179,2819116
2023-07-19,3539,675,6421,2238,0,65256,2818776
2023-07-20,3534,671,6392,2210,0,65266,2798382
2023-07-21,3555,676,6425,2224,0,65622,2804348
2023-07-22,3557,675,6422,2235,0,65669,2783624
2023-07-23,3558,675,6418,2238,0,65688,2775015
2023-07-24,3559,675,6422,2239,0,65702,2773235
2023-07-25,3677,675,6428,2240,0,68789,2778556
2023-07-26,3677,675,6435,2253,0,68562,2784676
2023-07-27,3682,675,6433,2241,0,68649,2784686
2023-07-28,3687,675,6435,2246,0,68697,2787713
2023-07-29,3686,675,6430,2239,0,68690,2791916
2023-07-30,3686,675,6437,2247,0,68698,2803266
2023-07-31,3686,675,6444,2244,0,68705,2809659
2023-08-01,3682,675,6446,2246,0,66683,2644873
2023-08-02,3686,675,6440,2246,0,68727,2803129
2023-08-03,3688,675,6455,2247,0,68748,2821603
2023-08-04,3688,675,6447,2253,0,68717,2824852
2023-08-05,3690,675,6447,2246,0,68747,2835281
2023-08-06,3690,675,6444,2242,0,68747,2830763
2023-08-07,3690,675,6446,2240,0,68747,2822037
2023-08-08,3696,675,6444,2241,0,68796,2824146
2023-08-09,3696,681,6445,2240,0,68969,2833139
2023-08-10,3699,681,6460,2243,0,68972,2847209
2023-08-11,3682,680,6415,2242,0,68980,2841250
2023-08-12,3690,681,6409,2246,0,69139,2840962
2023-08-13,3688,681,6417,2246,0,69350,2844280
2023-08-14,3680,681,6420,2249,0,69242,2848545
2023-08-15,3681,682,6419,2249,0,69239,2860276
2023-08-16,3681,682,6415,2251,0,69165,2828423
2023-08-17,3697,682,6431,2285,0,69604,3045273
2023-08-18,3694,681,6428,2282,0,69558,3065107
2023-08-19,3697,682,6431,1994,0,67021,2926765
2023-08-20,3697,682,6414,2248,0,67612,2681634
2023-08-21,3697,682,6418,2247,0,69574,2826001
2023-08-22,3702,683,6424,2268,0,69718,3012683
2023-08-23,3707,683,6415,2240,0,69783,2833635
2023-08-24,3704,683,6421,2239,0,69728,2839620
2023-08-25,3710,683,6419,1932,0,69194,2851954
2023-08-26,3712,683,6422,2248,0,69922,2858156
2023-08-27,3711,683,6427,2245,0,69901,2863099
2023-08-28,3711,683,6426,2243,0,69901,2873334
2023-08-29,3903,683,6419,1938,0,73364,2867261
2023-08-30,3900,683,6439,1942,0,73316,3054449
2023-08-31,3917,684,6411,2245,0,72333,2773693
2023-09-01,3921,685,6410,1977,0,72393,2763947
2023-09-02,3926,685,6411,1976,0,72454,2758433
2023-09-03,3927,685,6413,1980,0,72501,2760767
2023-09-04,3926,685,6419,1979,0,72574,2762670
2023-09-05,3921,685,6419,1979,0,72553,2757706
2023-09-06,3924,685,6413,1983,0,72627,2760827
2023-09-07,3929,685,6415,1985,0,72696,2763857
2023-09-08,3929,686,6421,1988,0,72724,2787613
2023-09-09,3929,687,6423,1988,0,72703,2778578
2023-09-10,3929,687,6417,1985,0,72713,2782138
2023-09-11,3930,687,6414,1984,0,72731,2779077
2023-09-12,3934,687,6423,1985,0,72752,2772754
