timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,2,1,1,1,0,67,0
2023-07-02,2,1,1,1,0,68,0
2023-07-03,2,1,1,1,0,68,0
2023-07-04,2,1,1,1,0,67,0
2023-07-05,2,1,1,1,0,68,0
2023-07-06,2,1,1,1,0,72,0
2023-07-07,2,1,1,1,0,72,0
2023-07-08,2,1,1,1,0,72,0
2023-07-09,2,1,1,1,0,72,0
2023-07-10,2,1,1,1,0,70,0
2023-07-11,2,1,1,1,0,70,0
2023-07-12,2,1,1,1,0,70,0
2023-07-13,2,1,1,1,0,69,0
2023-07-14,2,1,1,1,0,68,0
2023-07-15,2,1,1,1,0,72,0
2023-07-16,2,1,1,1,0,71,0
2023-07-17,2,1,1,1,0,72,0
2023-07-18,2,1,1,1,0,72,0
2023-07-19,2,1,1,1,0,72,0
2023-07-20,2,1,1,1,0,72,0
2023-07-21,2,1,1,1,0,72,0
2023-07-22,2,1,1,1,0,72,0
2023-07-23,2,1,1,1,0,72,0
2023-07-24,2,1,1,1,0,72,0
2023-07-25,2,1,1,1,0,72,0
2023-07-26,2,1,1,1,0,72,0
2023-07-27,2,1,1,1,0,72,0
2023-07-28,2,1,1,1,0,72,0
2023-07-29,2,1,1,1,0,72,0
2023-07-30,2,1,1,1,0,72,0
2023-07-31,2,1,1,1,0,72,0
2023-08-01,2,1,1,1,0,69,0
2023-08-02,2,1,1,1,0,72,0
2023-08-03,2,1,1,1,0,72,0
2023-08-04,2,1,1,1,0,72,0
2023-08-05,2,1,1,1,0,72,0
2023-08-06,2,1,1,1,0,72,0
2023-08-07,2,1,1,1,0,72,0
2023-08-08,2,1,1,1,0,72,0
2023-08-09,2,1,1,1,0,72,0
2023-08-10,2,1,1,1,0,72,0
2023-08-11,2,1,1,1,0,72,0
2023-08-12,2,1,1,1,0,72,0
2023-08-13,2,1,1,1,0,72,0
2023-08-14,2,1,1,1,0,72,0
2023-08-15,2,1,1,1,0,72,0
2023-08-16,2,1,1,1,0,72,0
2023-08-17,2,1,1,1,0,72,0
2023-08-18,2,1,1,1,0,72,0
2023-08-19,2,1,1,1,0,69,0
2023-08-20,2,1,1,1,0,70,0
2023-08-21,2,1,1,1,0,72,0
2023-08-22,2,1,1,1,0,72,0
2023-08-23,2,1,1,1,0,72,0
2023-08-24,2,1,1,1,0,72,0
2023-08-25,2,1,1,1,0,71,0
2023-08-26,2,1,1,1,0,72,0
2023-08-27,2,1,1,1,0,72,0
2023-08-28,2,1,1,1,0,72,0
2023-08-29,2,1,1,1,0,71,0
2023-08-30,2,1,1,1,0,71,0
2023-08-31,2,1,1,1,0,70,0
2023-09-01,2,1,1,1,0,70,0
2023-09-02,2,1,1,1,0,70,0
2023-09-03,2,1,1,1,0,70,0
2023-09-04,2,1,1,1,0,70,0
2023-09-05,2,1,1,1,0,70,0
2023-09-06,2,1,1,1,0,70,0
2023-09-07,2,1,1,1,0,70,0
2023-09-08,2,1,1,1,0,70,0
2023-09-09,2,1,1,1,0,70,0
2023-09-10,2,1,1,1,0,70,0
2023-09-11,2,1,1,1,0,70,0
2023-09-12,2,1,1,1,0,70,0
2023-09-13,2,1,1,1,0,70,0
2023-09-14,2,1,1,1,0,70,0
2023-09-15,2,1,1,1,0,70,0
2023-09-16,2,1,1,1,0,70,0
2023-09-17,2,1,1,1,0,70,0
2023-09-18,2,1,1,1,0,70,0
2023-09-19,2,1,1,1,0,69,0
2023-09-20,2,1,1,1,0,69,0
2023-09-21,2,1,1,1,0,69,0
2023-09-22,2,1,1,1,0,70,0
2023-09-23,2,1,1,1,0,70,0
2023-09-24,2,1,1,1,0,70,0
2023-09-25,2,1,1,1,0,70,0
2023-09-26,2,1,1,1,0,70,0
2023-09-27,2,1,1,1,0,70,0
2023-09-28,2,1,1,1,0,66,0
2023-09-29,2,1,1,1,0,63,0
2023-09-30,2,1,1,1,0,64,0
2023-10-01,2,1,1,1,0,64,0
2023-10-02,2,1,1,1,0,64,0
2023-10-03,2,1,1,1,0,64,0
2023-10-04,2,1,1,1,0,64,0
2023-10-05,2,1,1,1,0,72,0
2023-10-06,2,1,1,1,0,69,0
2023-10-07,2,1,1,1,0,68,0
2023-10-08,2,1,1,1,0,72,0
2023-10-09,2,1,1,1,0,70,0
2023-10-10,2,1,1,1,0,72,0
2023-10-11,2,1,1,1,0,72,0
2023-10-12,2,1,1,1,0,72,0
2023-10-13,2,1,1,1,0,72,0
2023-10-14,2,1,1,1,0,72,0
2023-10-15,2,1,1,1,0,72,0
2023-10-16,2,1,1,1,0,72,0
2023-10-17,2,1,1,1,0,72,0
2023-10-18,2,1,1,1,0,72,0
2023-10-19,2,1,1,1,0,71,0
2023-10-20,2,1,1,1,0,70,0
2023-10-21,2,1,1,1,0,71,0
2023-10-22,2,1,1,1,0,71,0
2023-10-23,2,1,1,1,0,69,0
2023-10-24,2,1,1,1,0,71,0
2023-10-25,2,1,1,1,0,71,0
2023-10-26,2,1,1,1,0,71,0
2023-10-27,2,1,1,1,0,71,0
2023-10-28,2,1,1,1,0,71,0
2023-10-29,2,1,1,1,0,71,0
2023-10-30,2,1,1,1,0,71,0
2023-10-31,2,1,1,1,0,69,0
