timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,1877,1311,827,242,0,64010,81958
2023-07-02,1876,1309,825,245,0,65274,82024
2023-07-03,1878,1312,827,247,0,65355,82063
2023-07-04,1877,1312,826,244,0,64017,81721
2023-07-05,1876,1313,827,248,0,65304,81836
2023-07-06,1875,1316,826,249,0,67376,82331
2023-07-07,1875,1316,826,249,0,67343,82485
2023-07-08,1875,1316,829,249,0,67430,82571
2023-07-09,1875,1308,830,248,0,67367,82659
2023-07-10,1874,1306,829,249,0,65511,79858
2023-07-11,1873,1298,827,248,0,65382,79675
2023-07-12,1875,1296,828,249,0,65393,79449
2023-07-13,1878,1298,829,248,0,64212,79329
2023-07-14,1877,1302,830,248,0,65218,79583
2023-07-15,1878,1306,832,249,0,67449,82691
2023-07-16,1877,1306,830,247,0,66132,82394
2023-07-17,1878,1307,830,250,0,67481,82470
2023-07-18,1879,1309,827,250,0,67316,82486
2023-07-19,1884,1310,827,250,0,67555,82513
2023-07-20,1886,1308,830,250,0,67559,82357
2023-07-21,1885,1312,829,251,0,67707,82380
2023-07-22,1886,1311,833,252,0,67770,82624
2023-07-23,1886,1311,832,252,0,67737,82631
2023-07-24,1886,1311,832,252,0,67729,82555
2023-07-25,1889,1314,834,252,0,67847,82599
2023-07-26,1890,1313,837,253,0,67787,82631
2023-07-27,1891,1314,833,253,0,67885,82831
2023-07-28,1891,1317,836,253,0,67955,83021
2023-07-29,1896,1322,837,253,0,67871,82605
2023-07-30,1896,1370,837,254,0,67924,82656
2023-07-31,1896,1370,838,254,0,67894,82631
2023-08-01,1896,1371,835,255,0,65854,80081
2023-08-02,1896,1371,845,255,0,67836,83411
2023-08-03,1897,1323,837,254,0,67738,83122
2023-08-04,1898,1323,841,254,0,67854,83363
2023-08-05,1899,1323,841,254,0,67871,82892
2023-08-06,1899,1323,840,254,0,67913,82812
2023-08-07,1899,1323,843,253,0,67863,82871
2023-08-08,1900,1324,846,254,0,67777,82991
2023-08-09,1895,1325,844,254,0,67701,83071
2023-08-10,1896,1335,844,256,0,67774,83017
2023-08-11,1892,1331,844,254,0,67826,82875
2023-08-12,1893,1331,846,254,0,67825,82640
2023-08-13,1893,1332,846,255,0,67906,82968
2023-08-14,1891,1332,844,255,0,67763,82885
2023-08-15,1894,1335,842,255,0,67712,82817
2023-08-16,1900,1340,841,255,0,68136,82917
2023-08-17,1902,1334,842,256,0,68676,85749
2023-08-18,1904,1334,842,256,0,68585,85893
2023-08-19,1901,1335,847,255,0,65239,82958
2023-08-20,1900,1335,846,257,0,66065,81665
2023-08-21,1900,1335,846,257,0,68436,86397
2023-08-22,1906,1336,847,258,0,68547,86252
2023-08-23,1904,1337,848,258,0,68568,86232
2023-08-24,1908,1339,849,258,0,68638,86446
2023-08-25,1905,1340,849,256,0,67402,85742
2023-08-26,1910,1341,851,259,0,68855,85974
2023-08-27,1910,1341,850,258,0,68855,85947
2023-08-28,1910,1342,850,258,0,68853,86118
2023-08-29,1910,1342,852,256,0,67543,85950
2023-08-30,1909,1344,851,257,0,67488,86014
2023-08-31,1923,1346,853,260,0,67392,82335
2023-09-01,1930,1346,853,260,0,67568,82091
2023-09-02,1931,1348,854,258,0,67060,79318
2023-09-03,1931,1348,856,258,0,67143,79409
2023-09-04,1931,1348,856,258,0,67042,79435
2023-09-05,1933,1350,856,259,0,67108,80028
2023-09-06,1935,1351,855,259,0,67027,79827
2023-09-07,1940,1351,856,258,0,67128,79985
2023-09-08,1941,1351,856,259,0,67731,82910
2023-09-09,1942,1352,858,260,0,67256,80338
2023-09-10,1942,1352,858,260,0,67735,83456
2023-09-11,1940,1352,857,260,0,67152,80661
2023-09-12,1946,1353,858,260,0,67337,79940
2023-09-13,1947,1355,858,262,0,67291,79920
2023-09-14,1949,1355,858,261,0,67409,80263
2023-09-15,1946,1355,859,259,0,67245,80169
2023-09-16,1950,1356,863,259,0,67487,80378
2023-09-17,1950,1356,862,259,0,67530,80301
2023-09-18,1950,1356,863,259,0,67547,81052
2023-09-19,1950,1356,863,258,0,66078,79885
2023-09-20,1950,1369,861,259,0,66182,79868
2023-09-21,1951,1357,866,258,0,66140,80007
2023-09-22,1956,1352,869,262,0,67412,80792
2023-09-23,1962,1359,869,263,0,67727,81675
2023-09-24,1962,1359,869,263,0,67688,82145
2023-09-25,1962,1358,868,263,0,67692,82026
2023-09-26,1962,1359,868,263,0,67494,82173
2023-09-27,1962,1359,871,264,0,67591,82889
2023-09-28,1957,1358,868,264,0,64991,81996
2023-09-29,1946,1359,859,263,0,62531,79089
2023-09-30,1951,1318,862,260,0,63933,79312
2023-10-01,1951,1323,861,260,0,64036,79264
2023-10-02,1951,1321,862,259,0,63998,79410
2023-10-03,1951,1320,865,259,0,63998,79510
2023-10-04,1952,1324,866,259,0,63993,79729
2023-10-05,1954,1325,870,259,0,69938,85294
2023-10-06,1956,1323,876,260,0,66735,82267
2023-10-07,1957,1323,877,262,0,66039,79453
2023-10-08,1957,1326,878,261,0,69967,84763
2023-10-09,1957,1326,879,261,0,69894,85310
2023-10-10,1946,1321,872,259,0,69841,85341
2023-10-11,1948,1317,875,260,0,68758,83381
2023-10-12,1946,1325,876,262,0,69870,85305
2023-10-13,1946,1325,874,262,0,69814,85781
2023-10-14,1944,1323,876,260,0,69765,85597
2023-10-15,1944,1320,877,260,0,69721,85535
2023-10-16,1944,1320,878,260,0,69755,86080
2023-10-17,1944,1323,874,260,0,69743,86154
2023-10-18,1944,1323,877,260,0,69756,85919
2023-10-19,1945,1322,877,259,0,68421,85792
2023-10-20,1943,1324,876,259,0,66933,81669
2023-10-21,1942,1326,880,259,0,68393,86237
2023-10-22,1942,1326,880,259,0,68428,85848
2023-10-23,1942,1326,880,260,0,66493,82402
2023-10-24,1950,1324,878,260,0,68722,85648
2023-10-25,1949,1326,875,260,0,68625,85823
