timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,972,284,486,657,0,27421,43874
2023-07-02,979,281,485,656,0,27610,45369
2023-07-03,974,294,488,662,0,27639,45559
2023-07-04,972,282,489,659,0,27401,43721
2023-07-05,973,299,486,661,0,27605,45214
2023-07-06,976,295,487,663,0,29481,46874
2023-07-07,978,286,490,666,0,29530,47256
2023-07-08,978,285,488,672,0,29455,47149
2023-07-09,972,274,488,663,0,29335,47038
2023-07-10,972,281,487,660,0,28375,46246
2023-07-11,975,269,488,657,0,28426,46225
2023-07-12,974,284,488,660,0,28432,46370
2023-07-13,976,283,490,662,0,28282,45520
2023-07-14,978,286,487,662,0,28352,46505
2023-07-15,975,285,488,664,0,29437,48539
2023-07-16,975,284,490,668,0,29249,47122
2023-07-17,975,286,490,665,0,29435,48825
2023-07-18,977,281,489,661,0,29455,48777
2023-07-19,979,292,492,669,0,29480,48874
2023-07-20,977,281,492,668,0,29396,48954
2023-07-21,978,286,491,668,0,29509,48714
2023-07-22,979,300,492,670,0,29562,49303
2023-07-23,981,305,492,671,0,29617,49231
2023-07-24,981,296,490,673,0,29620,47973
2023-07-25,988,302,491,675,0,29864,48211
2023-07-26,983,298,492,674,0,29711,48281
2023-07-27,990,299,490,672,0,29909,48201
2023-07-28,990,299,491,674,0,29926,48103
2023-07-29,992,291,491,674,0,29973,47546
2023-07-30,992,299,492,719,0,29977,48200
2023-07-31,992,319,492,721,0,29850,48280
2023-08-01,993,327,494,723,0,28769,46990
2023-08-02,992,326,499,727,0,29980,48074
2023-08-03,993,327,500,677,0,29819,47484
2023-08-04,993,339,498,679,0,29979,47549
2023-08-05,992,350,499,678,0,30030,47412
2023-08-06,992,341,501,677,0,29825,47436
2023-08-07,993,345,502,681,0,30035,47475
2023-08-08,994,348,502,677,0,30229,47608
2023-08-09,993,301,498,681,0,30016,47277
2023-08-10,995,308,501,682,0,30083,47494
2023-08-11,994,300,493,677,0,30080,47348
2023-08-12,995,291,495,676,0,30074,47393
2023-08-13,995,294,493,672,0,30260,47522
2023-08-14,995,271,494,670,0,30024,47382
2023-08-15,997,294,494,674,0,30128,47565
2023-08-16,994,280,500,676,0,29998,47776
2023-08-17,978,295,499,677,0,29576,47687
2023-08-18,976,283,500,678,0,29460,47896
2023-08-19,976,267,501,680,0,28310,44992
2023-08-20,977,289,500,682,0,28166,45884
2023-08-21,977,277,500,681,0,29424,47496
2023-08-22,974,275,501,682,0,29381,47427
2023-08-23,972,280,501,684,0,29399,47378
2023-08-24,978,282,499,684,0,29433,47278
2023-08-25,973,228,499,685,0,29345,46029
2023-08-26,973,211,498,686,0,29511,47799
2023-08-27,973,214,497,687,0,29556,47772
2023-08-28,973,219,497,687,0,29549,47725
2023-08-29,978,282,497,689,0,29588,46267
2023-08-30,972,238,499,685,0,29392,46039
2023-08-31,975,235,497,691,0,28539,46195
2023-09-01,969,223,495,693,0,28485,46150
2023-09-02,970,229,493,694,0,28517,46046
2023-09-03,969,219,493,695,0,28491,46034
2023-09-04,970,226,495,695,0,28523,46059
2023-09-05,968,220,494,696,0,28459,46217
2023-09-06,968,234,495,700,0,28510,46365
2023-09-07,967,234,493,700,0,28505,47857
2023-09-08,967,246,494,703,0,28484,47707
2023-09-09,965,241,493,706,0,28443,47732
2023-09-10,967,249,492,706,0,28558,47687
2023-09-11,965,240,492,705,0,28447,47675
2023-09-12,971,240,495,706,0,28559,48089
2023-09-13,970,245,495,705,0,28558,48004
2023-09-14,995,240,495,705,0,29273,47604
2023-09-15,995,235,497,708,0,29260,47670
2023-09-16,982,234,496,711,0,28676,47888
2023-09-17,982,231,496,713,0,28448,47825
2023-09-18,991,242,497,711,0,28373,47652
2023-09-19,994,238,498,715,0,28993,46483
2023-09-20,996,244,498,717,0,29086,46533
2023-09-21,998,245,501,723,0,29070,46695
2023-09-22,1007,238,504,721,0,29372,48218
2023-09-23,1009,250,505,722,0,29436,48388
2023-09-24,1003,239,505,719,0,29372,48449
2023-09-25,1003,264,505,721,0,29466,48787
2023-09-26,1009,260,503,719,0,29640,48604
2023-09-27,1009,257,502,716,0,29558,48272
2023-09-28,994,297,502,719,0,26682,45978
2023-09-29,1003,266,496,720,0,26388,43855
2023-09-30,1004,242,499,678,0,26258,45384
2023-10-01,1005,232,499,678,0,26615,45348
2023-10-02,1004,230,500,677,0,26600,44128
2023-10-03,980,213,498,674,0,25952,44266
2023-10-04,979,218,497,673,0,25972,44399
2023-10-05,1006,240,503,671,0,30052,48625
2023-10-06,1008,248,505,673,0,28919,46265
2023-10-07,1009,232,500,680,0,28498,46678
2023-10-08,1009,234,505,681,0,30536,48765
2023-10-09,1009,225,504,681,0,30036,48198
2023-10-10,976,214,502,679,0,29664,48500
2023-10-11,976,211,499,676,0,29092,47340
2023-10-12,978,207,499,680,0,29716,47700
2023-10-13,978,218,497,684,0,29771,47271
2023-10-14,979,225,492,682,0,29722,47240
2023-10-15,979,235,493,681,0,29738,47115
2023-10-16,979,208,494,679,0,29720,47115
2023-10-17,980,299,492,685,0,29710,47066
2023-10-18,979,225,491,682,0,29727,48151
2023-10-19,978,235,492,681,0,29567,46572
2023-10-20,983,244,490,679,0,29152,45783
2023-10-21,983,225,497,680,0,29673,47187
2023-10-22,983,213,496,681,0,29694,47554
2023-10-23,984,207,498,684,0,28693,46255
2023-10-24,986,209,500,685,0,29737,47335
2023-10-25,986,221,502,683,0,29780,46509
2023-10-26,988,225,498,681,0,29877,46516
2023-10-27,986,231,498,684,0,29850,46293
2023-10-28,989,235,498,679,0,29930,45763
2023-10-29,988,226,499,684,0,29913,45489
2023-10-30,987,232,501,686,0,29923,45911
2023-10-31,986,236,499,685,0,29877,45336
