timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,11,1,7,1,0,310,191
2023-07-02,11,1,7,1,0,311,191
2023-07-03,11,1,7,1,0,311,191
2023-07-04,11,1,7,1,0,310,191
2023-07-05,11,1,7,1,0,311,191
2023-07-06,11,1,7,1,0,333,209
2023-07-07,11,1,7,1,0,333,209
2023-07-08,11,1,7,1,0,333,200
2023-07-09,11,1,7,1,0,333,200
2023-07-10,11,1,7,1,0,322,194
2023-07-11,11,1,7,1,0,322,194
2023-07-12,11,1,7,1,0,322,194
2023-07-13,11,1,7,1,0,321,194
2023-07-14,11,1,7,1,0,311,188
2023-07-15,11,1,7,1,0,333,200
2023-07-16,11,1,7,1,0,332,200
2023-07-17,11,1,7,1,0,333,200
2023-07-18,11,1,7,1,0,333,200
2023-07-19,11,1,7,1,0,333,200
2023-07-20,11,1,7,1,0,333,200
2023-07-21,11,1,7,1,0,333,193
2023-07-22,11,1,7,1,0,333,193
2023-07-23,11,1,7,1,0,333,200
2023-07-24,11,1,7,1,0,333,200
2023-07-25,11,1,7,1,0,333,200
2023-07-26,11,1,7,1,0,333,200
2023-07-27,11,1,7,1,0,333,200
2023-07-28,11,1,7,1,0,333,198
2023-07-29,11,1,7,1,0,333,198
2023-07-30,11,1,7,1,0,333,198
2023-07-31,11,1,7,1,0,333,198
2023-08-01,11,1,7,1,0,322,192
2023-08-02,11,1,7,1,0,333,198
2023-08-03,11,1,7,1,0,333,193
2023-08-04,11,1,7,1,0,333,200
2023-08-05,11,1,7,1,0,333,200
2023-08-06,11,1,7,1,0,333,200
2023-08-07,11,1,7,1,0,332,200
2023-08-08,11,1,7,1,0,332,200
2023-08-09,11,1,7,1,0,332,200
2023-08-10,11,1,7,1,0,332,200
2023-08-11,11,1,7,1,0,333,200
2023-08-12,11,1,7,1,0,332,200
2023-08-13,11,1,7,1,0,332,200
2023-08-14,11,1,7,1,0,332,200
2023-08-15,11,1,7,1,0,332,200
2023-08-16,11,1,7,1,0,332,207
2023-08-17,11,1,7,1,0,333,200
2023-08-18,11,1,7,1,0,333,200
2023-08-19,11,1,7,1,0,321,193
2023-08-20,11,1,7,1,0,311,189
2023-08-21,11,1,7,1,0,333,200
2023-08-22,11,1,7,1,0,333,200
2023-08-23,11,1,7,1,0,333,200
2023-08-24,11,1,7,1,0,333,200
2023-08-25,11,1,7,1,0,332,200
2023-08-26,11,1,7,1,0,333,200
2023-08-27,11,1,7,1,0,333,200
2023-08-28,11,1,7,1,0,333,200
2023-08-29,11,1,7,1,0,332,200
2023-08-30,11,1,7,1,0,332,200
2023-08-31,11,1,7,1,0,322,194
2023-09-01,11,1,7,1,0,322,187
2023-09-02,11,1,7,1,0,322,187
2023-09-03,11,1,7,1,0,322,187
2023-09-04,11,1,7,1,0,322,187
2023-09-05,11,1,7,1,0,322,194
2023-09-06,11,1,7,1,0,322,194
2023-09-07,11,1,7,1,0,321,194
2023-09-08,11,1,7,1,0,321,194
2023-09-09,11,1,7,1,0,321,187
2023-09-10,11,1,7,1,0,322,187
2023-09-11,11,1,7,1,0,322,187
2023-09-12,11,1,7,1,0,322,187
2023-09-13,11,1,7,1,0,322,194
2023-09-14,11,1,7,1,0,322,194
2023-09-15,11,1,7,1,0,322,194
2023-09-16,11,1,7,1,0,322,194
2023-09-17,11,1,7,1,0,322,194
2023-09-18,11,1,7,1,0,322,194
2023-09-19,11,1,7,1,0,321,194
2023-09-20,11,1,7,1,0,321,194
2023-09-21,11,1,7,1,0,321,194
2023-09-22,11,1,7,1,0,322,194
2023-09-23,11,1,7,1,0,322,194
2023-09-24,11,1,7,1,0,322,194
2023-09-25,11,1,7,1,0,322,194
2023-09-26,11,1,7,1,0,322,207
2023-09-27,11,1,7,1,0,322,207
2023-09-28,11,1,7,1,0,300,184
2023-09-29,11,1,7,1,0,288,182
2023-09-30,11,1,7,1,0,289,182
2023-10-01,11,1,7,1,0,289,182
2023-10-02,11,1,7,1,0,289,182
2023-10-03,11,1,7,1,0,289,182
2023-10-04,11,1,7,1,0,289,182
2023-10-05,11,1,7,1,0,333,206
2023-10-06,11,1,7,1,0,321,200
2023-10-07,11,1,7,1,0,311,181
2023-10-08,11,1,7,1,0,333,206
2023-10-09,11,1,7,1,0,333,206
2023-10-10,11,1,7,1,0,333,360
2023-10-11,11,1,7,1,0,333,374
2023-10-12,11,1,7,1,0,333,391
2023-10-13,11,1,7,1,0,333,391
2023-10-14,11,1,7,1,0,333,347
2023-10-15,11,1,7,1,0,333,347
2023-10-16,11,1,7,1,0,332,347
2023-10-17,11,1,7,1,0,331,354
2023-10-18,11,1,7,1,0,332,336
2023-10-19,11,1,7,1,0,330,336
2023-10-20,11,1,7,1,0,322,327
2023-10-21,11,1,7,1,0,330,336
2023-10-22,11,1,7,1,0,330,347
2023-10-23,11,1,7,1,0,319,330
2023-10-24,11,1,7,1,0,330,347
2023-10-25,11,1,7,1,0,331,347
2023-10-26,11,1,7,1,0,319,328
2023-10-27,11,1,7,1,0,330,347
2023-10-28,11,1,7,1,0,331,336
2023-10-29,11,1,7,1,0,330,335
2023-10-30,11,1,7,1,0,330,336
2023-10-31,11,1,7,1,0,330,327
