timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,60,1,9,5,0,1554,36
2023-07-02,60,1,9,5,0,1555,36
2023-07-03,60,1,9,5,0,1555,36
2023-07-04,60,1,9,5,0,1554,36
2023-07-05,60,1,9,5,0,1555,36
2023-07-06,60,1,9,5,0,1555,37
2023-07-07,60,1,9,5,0,1556,37
2023-07-08,60,1,9,5,0,1556,36
2023-07-09,60,1,9,5,0,1556,37
2023-07-10,60,1,9,5,0,1497,35
2023-07-11,60,1,9,4,0,1497,34
2023-07-12,60,1,9,4,0,1497,34
2023-07-13,60,1,9,4,0,1496,35
2023-07-14,60,1,9,4,0,1497,35
2023-07-15,60,1,9,4,0,1556,36
2023-07-16,60,1,9,4,0,1555,35
2023-07-17,60,1,8,4,0,1556,36
2023-07-18,60,1,9,4,0,1556,33
2023-07-19,60,1,9,4,0,1556,34
2023-07-20,60,1,9,4,0,1556,34
2023-07-21,60,1,9,4,0,1556,37
2023-07-22,60,1,9,4,0,1556,37
2023-07-23,60,1,9,4,0,1556,37
2023-07-24,60,1,9,4,0,1556,37
2023-07-25,60,1,9,4,0,1556,37
2023-07-26,60,1,9,4,0,1556,37
2023-07-27,60,1,9,4,0,1556,37
2023-07-28,60,1,9,4,0,1556,38
2023-07-29,60,1,9,4,0,1556,36
2023-07-30,60,1,9,4,0,1556,37
2023-07-31,60,1,9,4,0,1556,37
2023-08-01,60,1,9,4,0,1497,36
2023-08-02,60,1,9,4,0,1556,37
2023-08-03,60,1,9,4,0,1556,37
2023-08-04,60,1,9,4,0,1555,36
2023-08-05,60,1,9,4,0,1555,36
2023-08-06,60,1,9,4,0,1555,36
2023-08-07,60,1,9,4,0,1555,36
2023-08-08,60,1,9,4,0,1555,36
2023-08-09,60,1,9,4,0,1555,37
2023-08-10,60,1,9,4,0,1555,37
2023-08-11,60,1,9,4,0,1555,37
2023-08-12,60,1,9,4,0,1555,38
2023-08-13,60,1,9,4,0,1555,37
2023-08-14,60,1,9,4,0,1555,37
2023-08-15,60,1,9,4,0,1555,36
2023-08-16,60,1,9,4,0,1555,36
2023-08-17,60,1,9,4,0,1554,36
2023-08-18,60,1,9,4,0,1554,36
2023-08-19,60,1,9,4,0,1494,36
2023-08-20,60,1,9,4,0,1436,36
2023-08-21,60,1,9,4,0,1555,37
2023-08-22,60,1,9,4,0,1554,37
2023-08-23,60,1,9,4,0,1555,37
2023-08-24,60,1,9,4,0,1555,36
2023-08-25,60,1,9,4,0,1554,36
2023-08-26,60,1,9,4,0,1555,35
2023-08-27,60,1,9,4,0,1555,35
2023-08-28,60,1,9,4,0,1555,35
2023-08-29,60,1,9,4,0,1554,35
2023-08-30,60,1,9,4,0,1553,35
2023-08-31,60,1,9,4,0,1495,32
2023-09-01,61,1,9,4,0,1521,33
2023-09-02,61,1,9,4,0,1521,33
2023-09-03,61,1,9,4,0,1521,33
2023-09-04,61,1,9,4,0,1521,33
2023-09-05,61,1,9,4,0,1520,33
2023-09-06,61,1,9,4,0,1520,33
2023-09-07,61,1,9,4,0,1520,32
2023-09-08,61,1,9,4,0,1520,34
2023-09-09,61,1,9,4,0,1520,32
2023-09-10,61,1,9,4,0,1520,33
2023-09-11,61,1,9,4,0,1520,32
2023-09-12,61,1,9,4,0,1520,32
2023-09-13,61,1,9,4,0,1520,32
2023-09-14,61,1,9,4,0,1520,33
2023-09-15,61,1,9,4,0,1520,33
2023-09-16,61,1,9,4,0,1520,34
2023-09-17,61,1,9,4,0,1520,33
2023-09-18,61,1,9,4,0,1520,34
2023-09-19,61,1,9,4,0,1519,40
2023-09-20,61,1,9,4,0,1519,38
2023-09-21,61,1,9,4,0,1519,38
2023-09-22,61,1,9,4,0,1520,38
2023-09-23,61,1,8,4,0,1518,38
2023-09-24,61,1,8,4,0,1518,38
2023-09-25,61,1,9,4,0,1520,38
2023-09-26,61,1,10,4,0,1520,118
2023-09-27,61,1,10,4,0,1520,119
2023-09-28,61,1,10,4,0,1514,117
2023-09-29,61,1,9,4,0,1458,115
2023-09-30,61,1,9,4,0,1459,115
2023-10-01,61,1,9,4,0,1459,115
2023-10-02,61,1,9,4,0,1459,115
2023-10-03,61,1,9,4,0,1459,115
2023-10-04,61,1,9,4,0,1459,115
2023-10-05,61,1,10,4,0,1580,120
2023-10-06,61,1,10,4,0,1518,118
2023-10-07,61,1,9,4,0,1459,37
2023-10-08,61,1,10,4,0,1580,119
2023-10-09,61,1,10,4,0,1580,119
2023-10-10,61,1,10,4,0,1580,120
2023-10-11,61,1,10,4,0,1574,116
2023-10-12,61,1,10,4,0,1580,118
2023-10-13,61,1,9,4,0,1580,118
2023-10-14,61,1,9,4,0,1580,118
2023-10-15,61,1,9,4,0,1580,118
2023-10-16,61,1,9,4,0,1580,118
2023-10-17,61,1,9,4,0,1580,118
2023-10-18,61,1,9,4,0,1580,118
2023-10-19,61,1,9,4,0,1579,118
2023-10-20,61,1,9,4,0,1544,117
2023-10-21,61,1,9,4,0,1579,118
2023-10-22,61,1,9,4,0,1578,116
2023-10-23,61,1,9,4,0,1518,116
2023-10-24,61,1,9,4,0,1578,116
2023-10-25,61,1,9,4,0,1578,116
2023-10-26,61,1,9,4,0,1578,116
2023-10-27,61,1,9,4,0,1578,116
2023-10-28,61,1,9,4,0,1578,116
2023-10-29,61,1,9,4,0,1578,116
2023-10-30,61,1,9,4,0,1578,116
2023-10-31,61,1,9,4,0,1578,116
