Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
9186,8.0,3.0,3.0,4.0,18.0
29802,15.0,14.0,12.0,20.0,61.0
8426,18.0,16.0,,4.0,38.0
35758,5.0,5.0,,14.0,24.0
61049,11.0,1.0,1.0,4.0,17.0
48551,1.0,,,8.0,9.0
43872,3.0,5.0,,2.0,10.0
199204,2.0,,,,2.0
31272,6.0,7.0,,,13.0
199713,5.0,,,3.0,8.0
15623,14.0,12.0,,2.0,28.0
197328,5.0,,,13.0,18.0
41552,7.0,7.0,,,14.0
668,9.0,11.0,6.0,13.0,39.0
27064,14.0,6.0,2.0,23.0,45.0
27066,13.0,4.0,1.0,13.0,31.0
3908,5.0,1.0,1.0,,7.0
1733,2.0,,,2.0,4.0
367,8.0,1.0,,22.0,31.0
14610,9.0,,,1.0,10.0
19224,6.0,5.0,,4.0,15.0
23089,7.0,5.0,1.0,21.0,34.0
62738,6.0,,,4.0,10.0
18690,2.0,,,,2.0
3402,2.0,,,1.0,3.0
395354,8.0,3.0,4.0,5.0,20.0
33651,21.0,9.0,17.0,11.0,58.0
395753,6.0,,,13.0,19.0
1321,9.0,1.0,1.0,3.0,14.0
703,13.0,12.0,13.0,2.0,40.0
18888,8.0,4.0,4.0,5.0,21.0
11251,3.0,2.0,7.0,3.0,15.0
30103,13.0,11.0,10.0,16.0,50.0
32308,7.0,,,,7.0
33667,20.0,12.0,9.0,5.0,46.0
22115,1.0,,,3.0,4.0
64213,7.0,1.0,,,8.0
7979,10.0,9.0,1.0,20.0,40.0
400036,1.0,,,,1.0
33650,19.0,6.0,19.0,5.0,49.0
11096,5.0,1.0,,3.0,9.0
27425,7.0,2.0,17.0,2.0,28.0
13649,13.0,7.0,2.0,20.0,42.0
33652,15.0,3.0,17.0,4.0,39.0
7046,6.0,1.0,7.0,18.0,32.0
30016,4.0,,,,4.0
11414,5.0,1.0,1.0,7.0,14.0
10796,19.0,11.0,4.0,9.0,43.0
40264,19.0,6.0,21.0,9.0,55.0
20115,22.0,8.0,22.0,21.0,73.0
30517,17.0,8.0,1.0,1.0,27.0
40410,1.0,,,5.0,6.0
62,16.0,9.0,,7.0,32.0
23520,22.0,18.0,3.0,11.0,54.0
46198,2.0,2.0,,1.0,5.0
23059,5.0,3.0,,1.0,9.0
33182,17.0,15.0,4.0,13.0,49.0
23314,9.0,5.0,,16.0,30.0
26959,1.0,,,2.0,3.0
20454,9.0,2.0,2.0,17.0,30.0
17035,4.0,2.0,2.0,2.0,10.0
2647,8.0,3.0,,1.0,12.0
7385,19.0,8.0,,2.0,29.0
33287,20.0,7.0,20.0,11.0,58.0
3770,3.0,1.0,,1.0,5.0
13536,18.0,12.0,1.0,12.0,43.0
13767,19.0,8.0,10.0,14.0,51.0
17076,4.0,,,1.0,5.0
36236,17.0,18.0,2.0,10.0,47.0
47631,9.0,7.0,,3.0,19.0
202,17.0,6.0,,,23.0
17072,16.0,11.0,23.0,19.0,69.0
28469,2.0,5.0,,17.0,24.0
32098,18.0,19.0,23.0,17.0,77.0
7725,13.0,6.0,10.0,7.0,36.0
36734,5.0,2.0,,,7.0
33668,16.0,9.0,5.0,5.0,35.0
18779,9.0,8.0,1.0,22.0,40.0
25751,4.0,3.0,1.0,3.0,11.0
13427,2.0,,,,2.0
33445,6.0,,,,6.0
13367,14.0,4.0,8.0,4.0,30.0
32696,5.0,,,,5.0
63031,3.0,,,3.0,6.0
2734,12.0,9.0,1.0,1.0,23.0
7459,13.0,12.0,,13.0,38.0
26344,2.0,2.0,,6.0,10.0
35847,14.0,9.0,2.0,8.0,33.0
40495,4.0,,,,4.0
23393,3.0,4.0,1.0,6.0,14.0
577,15.0,14.0,7.0,17.0,53.0
2731,2.0,1.0,,,3.0
62614,5.0,,,1.0,6.0
63264,5.0,,,5.0,10.0
46680,1.0,,,,1.0
5091,9.0,,,5.0,14.0
11427,21.0,14.0,3.0,3.0,41.0
53407,3.0,2.0,,7.0,12.0
6336,9.0,3.0,1.0,3.0,16.0
11351,18.0,2.0,5.0,5.0,30.0
36086,11.0,6.0,3.0,7.0,27.0
394976,6.0,6.0,,,12.0
46121,2.0,,,5.0,7.0
136897,14.0,6.0,1.0,16.0,37.0
19257,6.0,,,3.0,9.0
21949,17.0,13.0,1.0,9.0,40.0
7784,4.0,8.0,,1.0,13.0
6130,5.0,1.0,,4.0,10.0
24429,18.0,14.0,14.0,19.0,65.0
12271,15.0,1.0,1.0,4.0,21.0
13414,14.0,11.0,,8.0,33.0
22680,1.0,,,,1.0
44521,4.0,,,2.0,6.0
13739,4.0,2.0,,,6.0
10753,19.0,14.0,19.0,22.0,74.0
26991,9.0,,,,9.0
62713,9.0,1.0,,4.0,14.0
14230,14.0,9.0,,7.0,30.0
19009,11.0,11.0,2.0,3.0,27.0
393233,4.0,,,,4.0
24309,6.0,1.0,7.0,12.0,26.0
53828,14.0,4.0,,3.0,21.0
1019,2.0,,,1.0,3.0
53675,2.0,,,,2.0
14745,7.0,5.0,,4.0,16.0
7016,15.0,5.0,15.0,5.0,40.0
13760,19.0,15.0,1.0,11.0,46.0
22909,8.0,1.0,6.0,3.0,18.0
18712,7.0,7.0,,4.0,18.0
32244,7.0,2.0,,6.0,15.0
2711,16.0,10.0,2.0,12.0,40.0
33660,17.0,4.0,10.0,5.0,36.0
397849,6.0,9.0,2.0,,17.0
7381,11.0,1.0,,11.0,23.0
11071,2.0,5.0,,1.0,8.0
25956,15.0,1.0,,1.0,17.0
12179,11.0,7.0,,7.0,25.0
14184,3.0,,,4.0,7.0
17378,15.0,15.0,3.0,13.0,46.0
62044,14.0,9.0,5.0,14.0,42.0
22616,11.0,2.0,4.0,15.0,32.0
14877,11.0,6.0,,1.0,18.0
32278,6.0,,8.0,1.0,15.0
37282,21.0,15.0,,,36.0
55256,16.0,,,17.0,33.0
54994,19.0,16.0,13.0,21.0,69.0
11019,10.0,3.0,2.0,4.0,19.0
26667,8.0,7.0,,1.0,16.0
2639,16.0,4.0,7.0,14.0,41.0
7795,16.0,3.0,,14.0,33.0
55155,4.0,,,,4.0
44735,12.0,9.0,4.0,4.0,29.0
25899,17.0,12.0,1.0,4.0,34.0
395378,8.0,1.0,,,9.0
35986,2.0,1.0,1.0,20.0,24.0
13368,4.0,,,11.0,15.0
13354,5.0,6.0,,,11.0
4436,4.0,1.0,,2.0,7.0
15164,12.0,5.0,1.0,11.0,29.0
33490,14.0,2.0,11.0,3.0,30.0
198949,21.0,16.0,7.0,18.0,62.0
13876,21.0,6.0,,7.0,34.0
26038,7.0,,,,7.0
10835,5.0,10.0,1.0,5.0,21.0
7296,5.0,9.0,1.0,4.0,19.0
26584,6.0,,,1.0,7.0
62955,11.0,11.0,,,22.0
11272,13.0,9.0,2.0,9.0,33.0
13693,7.0,,,23.0,30.0
22911,15.0,6.0,,1.0,22.0
17639,21.0,14.0,3.0,10.0,48.0
21508,15.0,,11.0,6.0,32.0
33666,2.0,,,2.0,4.0
26801,12.0,9.0,2.0,15.0,38.0
17139,3.0,1.0,,9.0,13.0
395483,9.0,,,,9.0
33489,5.0,3.0,3.0,1.0,12.0
8151,14.0,15.0,18.0,23.0,70.0
56041,5.0,1.0,7.0,16.0,29.0
17621,9.0,1.0,15.0,13.0,38.0
38082,17.0,13.0,1.0,4.0,35.0
7552,22.0,18.0,13.0,21.0,74.0
45903,18.0,15.0,3.0,13.0,49.0
134963,2.0,,,17.0,19.0
202818,3.0,4.0,4.0,6.0,17.0
265693,1.0,5.0,7.0,8.0,21.0
265855,7.0,8.0,9.0,6.0,30.0
52263,13.0,4.0,,16.0,33.0
27947,9.0,11.0,22.0,16.0,58.0
52468,23.0,22.0,21.0,21.0,87.0
21575,14.0,11.0,,14.0,39.0
19281,8.0,3.0,,,11.0
42,18.0,17.0,13.0,11.0,59.0
263237,14.0,13.0,2.0,,29.0
27986,3.0,4.0,5.0,1.0,13.0
14203,2.0,2.0,2.0,1.0,7.0
2386,8.0,,1.0,21.0,30.0
19930,12.0,3.0,,6.0,21.0
32319,5.0,,,,5.0
23404,13.0,4.0,8.0,16.0,41.0
30029,8.0,5.0,,2.0,15.0
109,3.0,2.0,1.0,3.0,9.0
20141,11.0,3.0,,12.0,26.0
40107,10.0,3.0,,4.0,17.0
4927,5.0,9.0,,2.0,16.0
12085,14.0,5.0,1.0,14.0,34.0
3737,10.0,8.0,6.0,15.0,39.0
62943,19.0,10.0,1.0,7.0,37.0
12022,1.0,,,,1.0
399685,3.0,5.0,,,8.0
17117,10.0,,,5.0,15.0
19108,12.0,8.0,3.0,16.0,39.0
4917,2.0,,,5.0,7.0
54483,8.0,8.0,1.0,6.0,23.0
400454,8.0,,,1.0,9.0
31973,1.0,,,,1.0
100,6.0,,,7.0,13.0
33662,16.0,,10.0,7.0,33.0
16983,1.0,,,2.0,3.0
10788,3.0,,,3.0,6.0
4181,18.0,7.0,,22.0,47.0
19551,21.0,13.0,15.0,22.0,71.0
40934,12.0,1.0,3.0,14.0,30.0
6253,3.0,,,7.0,10.0
18848,6.0,,,1.0,7.0
8119,5.0,,,,5.0
12152,8.0,,,4.0,12.0
19229,8.0,12.0,,8.0,28.0
14792,5.0,,,2.0,7.0
21777,4.0,1.0,1.0,4.0,10.0
22792,6.0,2.0,,1.0,9.0
29884,10.0,1.0,,4.0,15.0
53741,3.0,,,5.0,8.0
46375,7.0,4.0,,5.0,16.0
17229,2.0,1.0,,3.0,6.0
12083,13.0,8.0,2.0,21.0,44.0
393444,9.0,8.0,,2.0,19.0
36149,16.0,4.0,,3.0,23.0
23019,1.0,,,2.0,3.0
398801,1.0,,,1.0,2.0
14010,2.0,,,5.0,7.0
27017,2.0,2.0,1.0,1.0,6.0
29944,5.0,2.0,,1.0,8.0
17088,13.0,,,1.0,14.0
21791,2.0,,,,2.0
26854,3.0,,,3.0,6.0
33657,17.0,9.0,18.0,11.0,55.0
36180,2.0,1.0,1.0,9.0,13.0
27189,1.0,,,,1.0
11924,9.0,5.0,,,14.0
32703,14.0,8.0,,3.0,25.0
55219,7.0,8.0,,,15.0
21947,11.0,7.0,,,18.0
36712,1.0,,,6.0,7.0
27202,4.0,,,,4.0
24115,12.0,,,,12.0
46562,10.0,9.0,3.0,17.0,39.0
31902,1.0,,,,1.0
14244,12.0,5.0,2.0,8.0,27.0
22772,9.0,6.0,,1.0,16.0
11760,2.0,,,,2.0
11796,14.0,16.0,3.0,1.0,34.0
13977,18.0,5.0,,17.0,40.0
19754,14.0,13.0,1.0,6.0,34.0
22260,7.0,,,2.0,9.0
3663,7.0,10.0,,5.0,22.0
40805,11.0,10.0,,10.0,31.0
33000,2.0,1.0,2.0,4.0,9.0
63069,8.0,3.0,,1.0,12.0
22317,1.0,4.0,2.0,1.0,8.0
396337,2.0,,,,2.0
54240,3.0,,,5.0,8.0
6325,12.0,,,7.0,19.0
