Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
8551,6.0,,11.0,1.0,18.0
8764,3.0,,1.0,1.0,5.0
34927,3.0,11.0,,,14.0
20473,6.0,10.0,8.0,13.0,37.0
49434,2.0,2.0,,,4.0
39351,1.0,,6.0,2.0,9.0
24651,1.0,,,,1.0
5391,1.0,,,,1.0
200462,2.0,,,,2.0
34549,1.0,7.0,,,8.0
23352,1.0,6.0,,,7.0
23470,2.0,,1.0,1.0,4.0
50509,8.0,,,,8.0
9049,9.0,9.0,1.0,,19.0
31500,9.0,4.0,4.0,2.0,19.0
8560,1.0,1.0,,,2.0
8075,1.0,3.0,7.0,1.0,12.0
58299,1.0,8.0,,6.0,15.0
1680,5.0,,,,5.0
1820,3.0,,1.0,,4.0
3269,6.0,1.0,12.0,,19.0
35007,2.0,,,,2.0
9299,7.0,2.0,3.0,,12.0
135607,7.0,5.0,,,12.0
12189,3.0,,,1.0,4.0
39326,1.0,,,,1.0
44066,1.0,3.0,,,4.0
12722,4.0,,2.0,,6.0
9063,2.0,4.0,,,6.0
8368,1.0,3.0,,,4.0
134578,3.0,,,,3.0
200845,3.0,,8.0,,11.0
9198,3.0,,4.0,,7.0
39386,4.0,1.0,,,5.0
13285,2.0,,,,2.0
5607,2.0,,1.0,,3.0
3352,4.0,,,1.0,5.0
50810,13.0,,,,13.0
42337,11.0,2.0,5.0,,18.0
7018,11.0,4.0,7.0,,22.0
56534,5.0,1.0,,,6.0
133296,4.0,5.0,,,9.0
8641,2.0,2.0,1.0,,5.0
7155,3.0,1.0,4.0,1.0,9.0
24940,1.0,1.0,,,2.0
20771,5.0,1.0,,,6.0
207701,1.0,,,,1.0
50010,2.0,1.0,1.0,,4.0
51043,1.0,,,,1.0
31042,2.0,2.0,,,4.0
5610,1.0,1.0,,,2.0
58002,2.0,,,,2.0
55329,4.0,,,,4.0
38082,5.0,5.0,,,10.0
12849,5.0,,3.0,,8.0
13009,1.0,,,,1.0
35168,4.0,,,,4.0
13030,5.0,11.0,,2.0,18.0
56694,3.0,,1.0,,4.0
8681,1.0,,1.0,,2.0
28968,2.0,1.0,,,3.0
59796,10.0,,,,10.0
25369,1.0,1.0,2.0,,4.0
48642,3.0,,1.0,,4.0
196925,6.0,2.0,1.0,,9.0
30781,4.0,9.0,,,13.0
50928,1.0,,,,1.0
25180,1.0,5.0,,,6.0
55002,6.0,,1.0,,7.0
8637,1.0,,,,1.0
13249,1.0,4.0,,,5.0
39010,12.0,,13.0,,25.0
8449,7.0,2.0,,,9.0
12360,1.0,,,,1.0
207165,2.0,,,,2.0
6768,3.0,,,,3.0
2603,3.0,1.0,,,4.0
33491,10.0,,,2.0,12.0
8866,4.0,,,5.0,9.0
43561,6.0,3.0,,,9.0
16397,1.0,2.0,,,3.0
14537,4.0,1.0,1.0,,6.0
13213,3.0,,1.0,,4.0
8369,5.0,,7.0,,12.0
56340,2.0,,,,2.0
3267,4.0,1.0,,,5.0
48276,3.0,,,,3.0
59605,2.0,1.0,,,3.0
22773,9.0,2.0,4.0,5.0,20.0
50058,3.0,11.0,,,14.0
61138,2.0,,9.0,,11.0
13094,2.0,4.0,,,6.0
57704,5.0,,5.0,,10.0
41107,2.0,1.0,,,3.0
29314,2.0,,2.0,,4.0
2854,5.0,,,,5.0
11426,1.0,,2.0,1.0,4.0
60731,1.0,,,,1.0
5089,4.0,,2.0,,6.0
3261,5.0,,,,5.0
209595,6.0,,2.0,,8.0
206810,4.0,,,,4.0
43160,4.0,,,,4.0
58192,1.0,,,,1.0
59659,1.0,,,,1.0
39074,13.0,,,,13.0
9125,2.0,,,,2.0
20559,1.0,,,,1.0
20712,2.0,,1.0,,3.0
19151,2.0,,,,2.0
200736,2.0,,,,2.0
29632,1.0,12.0,,,13.0
48728,1.0,,1.0,,2.0
53013,11.0,11.0,1.0,,23.0
397630,2.0,,1.0,,3.0
57099,1.0,1.0,,,2.0
61231,1.0,2.0,,,3.0
9930,2.0,4.0,,1.0,7.0
46887,9.0,3.0,2.0,1.0,15.0
2860,5.0,1.0,,,6.0
135391,2.0,,,,2.0
206825,1.0,,,,1.0
211619,3.0,,2.0,,5.0
2027,1.0,3.0,,,4.0
20001,5.0,,1.0,4.0,10.0
27552,1.0,1.0,,,2.0
13786,9.0,8.0,,,17.0
60503,5.0,,,,5.0
7195,5.0,6.0,,,11.0
1853,2.0,4.0,,,6.0
50107,3.0,2.0,,,5.0
44600,4.0,,,,4.0
48166,1.0,,,,1.0
49367,1.0,1.0,,,2.0
39175,4.0,3.0,,,7.0
51603,2.0,,,,2.0
17941,1.0,,,,1.0
15694,5.0,2.0,,,7.0
15695,2.0,,,,2.0
35758,2.0,,4.0,,6.0
27064,3.0,,9.0,,12.0
27066,1.0,,1.0,,2.0
45820,12.0,2.0,,,14.0
23089,1.0,,3.0,,4.0
395148,4.0,,2.0,,6.0
33651,5.0,,,3.0,8.0
33652,5.0,,,4.0,9.0
10796,5.0,5.0,,1.0,11.0
20454,3.0,,,,3.0
7385,4.0,1.0,1.0,,6.0
13536,6.0,,1.0,,7.0
13767,2.0,,1.0,,3.0
32098,4.0,2.0,1.0,5.0,12.0
17072,7.0,6.0,1.0,4.0,18.0
7725,2.0,,,1.0,3.0
40393,2.0,,2.0,,4.0
7459,2.0,2.0,,,4.0
11427,4.0,,,1.0,5.0
14828,3.0,,1.0,,4.0
12271,1.0,,,1.0,2.0
24309,2.0,,1.0,,3.0
13760,6.0,1.0,,,7.0
33570,1.0,,,,1.0
37282,7.0,5.0,,,12.0
7713,11.0,5.0,4.0,1.0,21.0
16504,1.0,,,,1.0
19551,8.0,1.0,5.0,2.0,16.0
198949,6.0,6.0,3.0,5.0,20.0
393748,1.0,,,,1.0
13954,1.0,,,,1.0
22911,2.0,2.0,,,4.0
17639,9.0,,3.0,,12.0
33657,3.0,1.0,,3.0,7.0
395290,1.0,,1.0,,2.0
8151,7.0,,12.0,8.0,27.0
7552,8.0,7.0,1.0,,16.0
52468,9.0,7.0,4.0,2.0,22.0
263237,5.0,,,,5.0
10392,1.0,,2.0,,3.0
62943,3.0,,5.0,,8.0
19108,2.0,,1.0,,3.0
11857,1.0,,1.0,,2.0
19229,3.0,3.0,,,6.0
11796,2.0,,,,2.0
396337,2.0,,,,2.0
24088,1.0,3.0,1.0,,5.0
45899,6.0,11.0,3.0,,20.0
4761,9.0,5.0,,,14.0
18013,5.0,,4.0,,9.0
17762,6.0,6.0,,,12.0
133647,4.0,,1.0,1.0,6.0
58552,6.0,3.0,,,9.0
17665,11.0,3.0,3.0,,17.0
58656,6.0,2.0,,,8.0
10075,9.0,2.0,,,11.0
16637,3.0,3.0,,,6.0
55824,7.0,5.0,11.0,13.0,36.0
18229,10.0,,,,10.0
9829,8.0,5.0,6.0,,19.0
38193,4.0,1.0,,,5.0
132165,4.0,,,,4.0
136106,9.0,5.0,,,14.0
714,1.0,2.0,3.0,3.0,9.0
3,4.0,,4.0,,8.0
4230,13.0,9.0,,,22.0
18678,2.0,1.0,5.0,,8.0
398465,1.0,1.0,6.0,,8.0
53667,3.0,10.0,,13.0,26.0
54048,1.0,,1.0,,2.0
133982,2.0,1.0,,,3.0
24203,3.0,,6.0,,9.0
7470,1.0,1.0,1.0,,3.0
812,4.0,3.0,,,7.0
45489,2.0,,,,2.0
4713,1.0,,,,1.0
14840,10.0,10.0,2.0,,22.0
23947,8.0,9.0,,,17.0
62904,2.0,,2.0,,4.0
49532,1.0,2.0,1.0,1.0,5.0
36692,3.0,,3.0,,6.0
38731,1.0,,1.0,,2.0
21559,1.0,1.0,,,2.0
53356,5.0,9.0,1.0,13.0,28.0
52210,2.0,1.0,,,3.0
12186,3.0,2.0,,,5.0
12042,2.0,,,,2.0
398296,1.0,,1.0,,2.0
924,1.0,4.0,,,5.0
30036,4.0,,3.0,10.0,17.0
14445,1.0,,2.0,,3.0
396123,1.0,,6.0,,7.0
60326,3.0,2.0,,,5.0
394256,1.0,6.0,1.0,,8.0
20326,2.0,3.0,,,5.0
200105,1.0,6.0,1.0,1.0,9.0
49304,1.0,10.0,,1.0,12.0
62485,4.0,,,,4.0
212895,3.0,10.0,,,13.0
52025,5.0,2.0,1.0,3.0,11.0
5056,1.0,2.0,2.0,,5.0
399868,1.0,2.0,,1.0,4.0
22927,4.0,2.0,1.0,,7.0
6057,2.0,1.0,,,3.0
6134,4.0,,2.0,,6.0
7049,10.0,,,,10.0
7738,11.0,5.0,,,16.0
28158,2.0,3.0,1.0,,6.0
53062,7.0,9.0,,,16.0
28329,11.0,9.0,,,20.0
14282,2.0,4.0,,,6.0
265269,7.0,5.0,,,12.0
263558,9.0,4.0,4.0,,17.0
264997,2.0,4.0,,,6.0
21574,8.0,5.0,,,13.0
269783,2.0,1.0,,1.0,4.0
52361,3.0,,,,3.0
263444,8.0,8.0,,2.0,18.0
28663,2.0,4.0,,2.0,8.0
23106,7.0,10.0,,,17.0
267613,7.0,12.0,,,19.0
265239,4.0,3.0,,,7.0
263009,7.0,8.0,4.0,,19.0
266438,1.0,2.0,,,3.0
25933,10.0,5.0,1.0,2.0,18.0
11432,9.0,8.0,9.0,2.0,28.0
61832,7.0,10.0,1.0,,18.0
269194,5.0,3.0,,1.0,9.0
40850,4.0,10.0,2.0,,16.0
28260,12.0,9.0,2.0,3.0,26.0
11172,3.0,2.0,3.0,9.0,17.0
18101,6.0,2.0,,,8.0
138915,1.0,,3.0,,4.0
17439,1.0,,,,1.0
45543,1.0,1.0,,,2.0
45671,3.0,,3.0,,6.0
38264,4.0,1.0,,,5.0
45609,1.0,3.0,2.0,,6.0
59179,1.0,,2.0,,3.0
134326,3.0,,,3.0,6.0
45474,9.0,,,,9.0
21433,3.0,3.0,7.0,3.0,16.0
141047,1.0,,,,1.0
24532,3.0,,,,3.0
24186,5.0,,3.0,4.0,12.0
