Column,Group,Mean,Median,Std Dev,Min,Q1,Q3,Max
ipv6_neighbor_count,5,-0.00010507249540987411,0.0,0.023515632777844155,-1.0,0.0,0.0,2.0
ipv6_neighbor_count,6,-0.00011025372848671582,0.0,0.028927730119357026,-1.0,0.0,0.0,2.0
ipv6_neighbor_count,7,0.000796499527917008,0.0,0.1449272608383809,-1.0,0.0,0.0,40.5
ipv6_neighbor_count,8,0.0003529455486201139,0.0,0.030738815102431174,-1.0,0.0,0.0,2.333333333333333
ipv6_neighbor_count,9,0.00020136094597175054,0.0,0.027315455419336075,-1.0,0.0,0.0,3.0
ipv6_neighbor_count,10,8.428546151727744e-05,0.0,0.02952528701824566,-1.0,0.0,0.0,3.0
ipv6_neighbor_count,11,0.0005035613157052002,0.0,0.025951070000867903,-1.0,0.0,0.0,2.0
ipv6_neighbor_count,12,7.2594951255340065e-06,0.0,0.02495555641664701,-1.0,0.0,0.0,3.0
total_neighbor_count,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_neighbor_count,2,-7.56774062302888e-05,0.0,0.029433340682500583,-0.75,0.0,0.0,2.0
total_neighbor_count,3,0.0001979956266573324,0.0,0.030317285715242562,-0.8888888888888888,0.0,0.0,3.0
total_neighbor_count,4,0.0013041917170332144,0.0,0.08453026280201498,-0.75,0.0,0.0,15.0
total_neighbor_count,5,0.0006715294193225931,0.0,0.042700652789364364,-0.72,0.0,0.0,3.0
total_neighbor_count,6,0.00046448418589376797,0.0,0.03895895764521365,-0.9759036144578314,0.0,0.0,3.0
total_neighbor_count,7,0.0013645101900212832,0.0,0.14786560801683346,-0.75,0.0,0.0,40.5
total_neighbor_count,8,0.0009094368713592363,0.0,0.04063040418792736,-0.6666666666666667,0.0,0.0,4.0
total_neighbor_count,9,0.0003954964932213076,0.0,0.039700030139984875,-0.75,0.0,0.0,5.0
total_neighbor_count,10,0.000806749681671375,0.0,0.037494856916366774,-0.6666666666666667,0.0,0.0,3.333333333333333
total_neighbor_count,11,0.00033001535247034313,0.0,0.031596765246995756,-0.75,0.0,0.0,3.0
total_neighbor_count,12,0.0006077917759625242,0.0,0.03874777037786414,-0.6666666666666667,0.0,0.0,3.0
