Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
4230,5.0,7.0,,,12.0
53667,2.0,3.0,,10.0,15.0
812,3.0,2.0,,,5.0
917,1.0,2.0,,1.0,4.0
53356,1.0,8.0,,10.0,19.0
136620,6.0,,,,6.0
52210,3.0,1.0,,,4.0
924,2.0,1.0,,,3.0
396123,2.0,,4.0,,6.0
60326,7.0,6.0,,,13.0
49304,1.0,3.0,,,4.0
60849,2.0,2.0,2.0,2.0,8.0
52025,2.0,,1.0,,3.0
5056,1.0,1.0,,,2.0
6057,1.0,,,,1.0
210715,2.0,,,,2.0
8167,6.0,4.0,,,10.0
266583,5.0,2.0,,1.0,8.0
28329,6.0,7.0,,,13.0
265269,2.0,3.0,,,5.0
264997,1.0,1.0,,,2.0
21574,1.0,2.0,,,3.0
267613,7.0,8.0,,,15.0
265239,1.0,1.0,,,2.0
263009,4.0,3.0,,,7.0
266438,3.0,2.0,,,5.0
25933,5.0,2.0,2.0,,9.0
269194,2.0,,,1.0,3.0
38496,3.0,,,,3.0
58717,6.0,,,,6.0
4779,4.0,2.0,,,6.0
133840,4.0,,,,4.0
58715,6.0,1.0,,,7.0
138840,7.0,1.0,,,8.0
7524,2.0,,,,2.0
39153,1.0,,,,1.0
58057,4.0,9.0,2.0,,15.0
34602,2.0,3.0,,,5.0
25082,2.0,,2.0,,4.0
31163,2.0,,,,2.0
33763,3.0,,,,3.0
5416,5.0,7.0,6.0,,18.0
55352,4.0,2.0,,,6.0
34222,3.0,,,,3.0
8452,2.0,,7.0,,9.0
206611,2.0,,2.0,,4.0
50597,3.0,,3.0,,6.0
212692,2.0,,,,2.0
58682,6.0,4.0,,,10.0
205262,1.0,,,,1.0
50384,4.0,2.0,,,6.0
200276,2.0,,,,2.0
9155,2.0,,3.0,,5.0
60051,3.0,3.0,,,6.0
203214,6.0,1.0,8.0,2.0,17.0
199739,2.0,,2.0,,4.0
61461,4.0,,,2.0,6.0
58322,2.0,,3.0,,5.0
268952,1.0,,1.0,,2.0
19114,2.0,,,,2.0
28368,10.0,2.0,,,12.0
28283,1.0,1.0,,,2.0
8888,3.0,7.0,,,10.0
136744,3.0,,2.0,,5.0
397067,4.0,,,,4.0
983,1.0,,2.0,,3.0
29873,6.0,,,,6.0
207138,4.0,,3.0,,7.0
52465,2.0,,,,2.0
133115,1.0,,,,1.0
37148,3.0,1.0,2.0,,6.0
2018,1.0,1.0,3.0,,5.0
37440,5.0,,,,5.0
36925,2.0,,,,2.0
36998,4.0,,4.0,,8.0
37075,4.0,,,,4.0
25818,1.0,,,,1.0
15706,4.0,,4.0,,8.0
137990,2.0,,,,2.0
